ad_text,industry,actual_ctr,impressions,factor_urgency,factor_social,factor_spec,factor_cta,factor_curiosity,factor_price
The training program you've been waiting for. Learn more. Save $75 instantly and get free shipping over $50. Available now. Rated 4.8/5 by thousands. Affordable for everyone.,Fitness,0.023437,3231,0,2,3,0,0,2
The grain-free pet food you've been waiting for. Great value. Quality you can trust. The counterintuitive trick that doubled our results.,Pet Care,0.01414,124184,0,0,0,0,3,1
"The downtown condo you've been waiting for. Start your free trial — no credit card, cancel anytime. Great value. #1 rated in its category, backed by 25,000 five-star reviews. Quality you can trust. The secret pros use. Ends soon.",Real Estate,0.007943,44938,1,3,0,3,2,1
The getaway package you've been waiting for. Premium craftsmanship. Start your free trial. The counterintuitive trick that doubled our results. Great value. Don't miss out.,Travel & Hospitality,0.01057,63895,1,0,0,2,3,0
"The wireless headphones you've been waiting for. Shop the collection. Save $75 instantly and get free shipping over $50. What nobody tells you about. Budget-friendly. Start your free trial — no credit card, cancel anytime. For everyone.",Consumer Electronics,0.021491,150273,0,0,3,3,2,2
The game pass you've been waiting for. You'll want to see this. Offer expires today — act now. A smarter choice. Start your free trial. Unbeatable price.,Gaming,0.033727,104655,3,0,0,2,1,3
"The family sedan you've been waiting for. Get started. What nobody tells you about. Quality you can trust. #1 rated in its category, backed by 25,000 five-star reviews. Save 30% today.",Automotive,0.00872,30113,0,3,2,1,2,1
The unlimited data plan you've been waiting for. Today only. Lowest price guaranteed. A customer favorite. Save $75 instantly and get free shipping over $50. Grab yours now. You'll want to see this.,Telecom,0.014546,74193,2,1,3,2,1,3
"The credit card you've been waiting for. Start your free trial. Final hours. #1 rated in its category, backed by 25,000 five-star reviews. The counterintuitive trick that doubled our results. Lowest price guaranteed. Get 40% off.",Finance / Fintech,0.017058,155720,2,3,2,2,3,3
The wireless headphones you've been waiting for. Start your free trial. Offer expires today — act now. Quality you can trust. Save on your order. A new product.,Consumer Electronics,0.020076,143366,3,0,1,2,0,1
"The grain-free pet food you've been waiting for. You'll want to see this. Lowest price guaranteed. Available now. Save $75 instantly and get free shipping over $50. A customer favorite. Start your free trial — no credit card, cancel anytime.",Pet Care,0.02729,19177,0,1,3,3,1,3
The grain-free pet food you've been waiting for. A new product. For everyone. Save $75 instantly and get free shipping over $50. Ends soon. Premium craftsmanship.,Pet Care,0.015038,132117,1,0,3,0,0,0
"The skincare set you've been waiting for. Affordable for everyone. Ends soon. The secret pros use. Real savings inside. Trusted by 10,000+ buyers. Grab yours now.",Beauty & Cosmetics,0.028677,139256,1,2,1,2,2,2
"The streaming plan you've been waiting for. A new product. Start your free trial — no credit card, cancel anytime. A smarter choice. Final hours. Quality you can trust. Rated 4.8/5 by thousands.",Entertainment / Streaming,0.031566,190956,2,2,0,3,0,1
The wireless headphones you've been waiting for. The counterintuitive trick that doubled our results. Highly rated. The luxury standard. 48-hour flash sale. Cut your bill by half.,Consumer Electronics,0.019618,24832,3,1,2,0,3,0
"The daily supplements you've been waiting for. A smarter choice. Quality you can trust. Highly rated. Start your free trial — no credit card, cancel anytime. Only 24 hours left. Here's why it works.",Health & Wellness,0.017569,85066,2,1,0,3,1,1
