ad_text,actual_ctr
MEGA DEAL: 80% off all winter jackets. Only 24 hours left!,0.039422
MEGA DEAL: 80% off all winter jackets. Only 24 hours left!,0.037149
MEGA DEAL: 80% off all winter jackets. Only 24 hours left!,0.033685
Last chance! Free shipping + 50% off sitewide. Code: SAVE50,0.034432
Last chance! Free shipping + 50% off sitewide. Code: SAVE50,0.031777
Last chance! Free shipping + 50% off sitewide. Code: SAVE50,0.03177
Black Friday in July! 60% off everything. Today only!,0.032471
Black Friday in July! 60% off everything. Today only!,0.031245
Black Friday in July! 60% off everything. Today only!,0.034855
"BOGO FREE on all shoes! Hurry, ends at midnight!",0.028748
"BOGO FREE on all shoes! Hurry, ends at midnight!",0.027497
"BOGO FREE on all shoes! Hurry, ends at midnight!",0.034635
Warehouse blowout: Everything under $10. Limited stock!,0.027494
Warehouse blowout: Everything under $10. Limited stock!,0.028151
Warehouse blowout: Everything under $10. Limited stock!,0.024809
End of season sale: Buy 2 get 1 free. All categories!,0.027812
End of season sale: Buy 2 get 1 free. All categories!,0.025703
End of season sale: Buy 2 get 1 free. All categories!,0.02637
Deal of the day: 65% off bestselling headphones. Only 50 left!,0.031411
Deal of the day: 65% off bestselling headphones. Only 50 left!,0.03789
Deal of the day: 65% off bestselling headphones. Only 50 left!,0.032964
Exclusive members-only sale: 55% off + free express shipping!,0.026546
Exclusive members-only sale: 55% off + free express shipping!,0.030908
Exclusive members-only sale: 55% off + free express shipping!,0.026168
Fire sale! Liquidating entire inventory. Prices start at $1!,0.036602
Fire sale! Liquidating entire inventory. Prices start at $1!,0.030356
Fire sale! Liquidating entire inventory. Prices start at $1!,0.032175
Save 50% on all sneakers today! Limited time offer.,0.017906
Save 50% on all sneakers today! Limited time offer.,0.0183
Save 50% on all sneakers today! Limited time offer.,0.020607
Hurry! Only 5 seats left for our AI masterclass. Register today!,0.021577
Hurry! Only 5 seats left for our AI masterclass. Register today!,0.018038
Hurry! Only 5 seats left for our AI masterclass. Register today!,0.021544
Save money on your monthly bills. Switch to Solar Energy now!,0.017445
Save money on your monthly bills. Switch to Solar Energy now!,0.017025
Save money on your monthly bills. Switch to Solar Energy now!,0.018881
Learn Python in 30 days. Certified courses starting now!,0.02165
Learn Python in 30 days. Certified courses starting now!,0.02149
Learn Python in 30 days. Certified courses starting now!,0.018657
Affordable dental care for the whole family. Book your appointment now!,0.015604
Affordable dental care for the whole family. Book your appointment now!,0.016424
Affordable dental care for the whole family. Book your appointment now!,0.017249
Get 3 months free when you sign up today! Premium streaming included.,0.021873
Get 3 months free when you sign up today! Premium streaming included.,0.023766
Get 3 months free when you sign up today! Premium streaming included.,0.022636
Transform your garden in one weekend. Shop our spring sale now!,0.017071
Transform your garden in one weekend. Shop our spring sale now!,0.01852
Transform your garden in one weekend. Shop our spring sale now!,0.020215
"New year, new you! 40% off gym memberships. Offer expires Friday!",0.022934
"New year, new you! 40% off gym memberships. Offer expires Friday!",0.025879
"New year, new you! 40% off gym memberships. Offer expires Friday!",0.01818
Book your dream vacation at 35% off. Limited availability!,0.021315
Book your dream vacation at 35% off. Limited availability!,0.020139
Book your dream vacation at 35% off. Limited availability!,0.019522
Smart home starter kit for just $49. Was $129. Order now!,0.024176
Smart home starter kit for just $49. Was $129. Order now!,0.020184
Smart home starter kit for just $49. Was $129. Order now!,0.023578
Kids' coding camp: Early bird pricing ends tomorrow! Save $100.,0.0159
Kids' coding camp: Early bird pricing ends tomorrow! Save $100.,0.016318
Kids' coding camp: Early bird pricing ends tomorrow! Save $100.,0.018245
Upgrade to fiber internet. First 3 months at half price!,0.0195
Upgrade to fiber internet. First 3 months at half price!,0.018195
Upgrade to fiber internet. First 3 months at half price!,0.01978
Pet insurance from $15/month. Get a free quote in 60 seconds!,0.016124
Pet insurance from $15/month. Get a free quote in 60 seconds!,0.01724
Pet insurance from $15/month. Get a free quote in 60 seconds!,0.015101
Last call: 25% off all vitamins and supplements. Ends tonight!,0.017528
Last call: 25% off all vitamins and supplements. Ends tonight!,0.017435
Last call: 25% off all vitamins and supplements. Ends tonight!,0.015893
Limited edition sneakers dropping Friday. Set your reminder now!,0.014718
Limited edition sneakers dropping Friday. Set your reminder now!,0.013302
Limited edition sneakers dropping Friday. Set your reminder now!,0.014495
Upgrade your skills with our design bootcamp.,0.01342
Upgrade your skills with our design bootcamp.,0.014962
Upgrade your skills with our design bootcamp.,0.013182
Master data science in 12 weeks. 97% job placement rate.,0.015309
Master data science in 12 weeks. 97% job placement rate.,0.014911
Master data science in 12 weeks. 97% job placement rate.,0.012697
Free webinar: How to grow your business with social media.,0.011975
Free webinar: How to grow your business with social media.,0.012058
Free webinar: How to grow your business with social media.,0.014365
Learn to cook like a chef. Online culinary classes starting soon.,0.010831
Learn to cook like a chef. Online culinary classes starting soon.,0.011265
Learn to cook like a chef. Online culinary classes starting soon.,0.010969
Photography masterclass: From beginner to pro in 30 lessons.,0.011785
Photography masterclass: From beginner to pro in 30 lessons.,0.014189
Photography masterclass: From beginner to pro in 30 lessons.,0.013782
Digital marketing certification. Recognized by top employers.,0.010654
Digital marketing certification. Recognized by top employers.,0.012563
Digital marketing certification. Recognized by top employers.,0.014103
Guitar lessons for beginners. Your first lesson is free!,0.013811
Guitar lessons for beginners. Your first lesson is free!,0.01432
Guitar lessons for beginners. Your first lesson is free!,0.01512
Personal finance bootcamp: Learn to invest like the pros.,0.010065
Personal finance bootcamp: Learn to invest like the pros.,0.011417
Personal finance bootcamp: Learn to invest like the pros.,0.010191
Creative writing workshop. Published authors as mentors.,0.01124
Creative writing workshop. Published authors as mentors.,0.009373
Creative writing workshop. Published authors as mentors.,0.009742
Excel mastery course: Advanced formulas and macros in 2 weeks.,0.012781
Excel mastery course: Advanced formulas and macros in 2 weeks.,0.010818
Excel mastery course: Advanced formulas and macros in 2 weeks.,0.012218
Get better sleep tonight with our weighted blanket.,0.009167
Get better sleep tonight with our weighted blanket.,0.009211
Get better sleep tonight with our weighted blanket.,0.008486
Meal prep made easy. Fresh ingredients delivered to your door.,0.013429
Meal prep made easy. Fresh ingredients delivered to your door.,0.013855
Meal prep made easy. Fresh ingredients delivered to your door.,0.014973
The smartest thermostat on the market. Saves up to 30% on energy.,0.010784
The smartest thermostat on the market. Saves up to 30% on energy.,0.010337
The smartest thermostat on the market. Saves up to 30% on energy.,0.010217
Noise-cancelling earbuds that last all day. Shop now.,0.009347
Noise-cancelling earbuds that last all day. Shop now.,0.009938
Noise-cancelling earbuds that last all day. Shop now.,0.010273
Custom vitamins designed for your body. Take our free quiz!,0.015628
Custom vitamins designed for your body. Take our free quiz!,0.013704
Custom vitamins designed for your body. Take our free quiz!,0.017047
The world's most comfortable mattress. 100-night risk-free trial.,0.011551
The world's most comfortable mattress. 100-night risk-free trial.,0.010246
The world's most comfortable mattress. 100-night risk-free trial.,0.010058
Craft beer subscription box. 12 unique beers monthly.,0.00703
Craft beer subscription box. 12 unique beers monthly.,0.007714
Craft beer subscription box. 12 unique beers monthly.,0.008548
Professional tax services for small businesses.,0.007216
Professional tax services for small businesses.,0.006505
Professional tax services for small businesses.,0.007086
Trusted by millions. Secure your home with our smart security system.,0.007033
Trusted by millions. Secure your home with our smart security system.,0.00636
Trusted by millions. Secure your home with our smart security system.,0.0072
Business insurance tailored to your industry. Get a free quote.,0.008359
Business insurance tailored to your industry. Get a free quote.,0.008693
Business insurance tailored to your industry. Get a free quote.,0.008674
Legal services for startups. First consultation free.,0.005339
Legal services for startups. First consultation free.,0.00555
Legal services for startups. First consultation free.,0.006247
HR software that saves you 10 hours per week. Free demo.,0.00937
HR software that saves you 10 hours per week. Free demo.,0.009371
HR software that saves you 10 hours per week. Free demo.,0.011774
Accounting made simple. AI-powered bookkeeping for freelancers.,0.008365
Accounting made simple. AI-powered bookkeeping for freelancers.,0.008727
Accounting made simple. AI-powered bookkeeping for freelancers.,0.008611
Commercial cleaning services. Trusted by 500+ offices.,0.004691
Commercial cleaning services. Trusted by 500+ offices.,0.004905
Commercial cleaning services. Trusted by 500+ offices.,0.004806
IT support for growing businesses. 24/7 helpdesk included.,0.007046
IT support for growing businesses. 24/7 helpdesk included.,0.008296
IT support for growing businesses. 24/7 helpdesk included.,0.005954
"Payroll processing in minutes, not hours. Try it free.",0.008439
"Payroll processing in minutes, not hours. Try it free.",0.006968
"Payroll processing in minutes, not hours. Try it free.",0.007698
Corporate training programs. Upskill your entire team.,0.006523
Corporate training programs. Upskill your entire team.,0.006031
Corporate training programs. Upskill your entire team.,0.005483
Fleet management software. GPS tracking and fuel optimization.,0.004714
Fleet management software. GPS tracking and fuel optimization.,0.005272
Fleet management software. GPS tracking and fuel optimization.,0.004708
Commercial real estate advisory. Find your next office space.,0.004069
Commercial real estate advisory. Find your next office space.,0.004015
Commercial real estate advisory. Find your next office space.,0.003791
"Enterprise CRM solution. Manage 10,000+ contacts seamlessly.",0.008201
"Enterprise CRM solution. Manage 10,000+ contacts seamlessly.",0.007355
"Enterprise CRM solution. Manage 10,000+ contacts seamlessly.",0.005866
Supply chain optimization. Reduce costs by up to 25%.,0.006089
Supply chain optimization. Reduce costs by up to 25%.,0.005682
Supply chain optimization. Reduce costs by up to 25%.,0.006409
Premium real estate listings in your area. Contact us today.,0.003208
Premium real estate listings in your area. Contact us today.,0.002712
Premium real estate listings in your area. Contact us today.,0.00292
Join the revolution in sustainable fashion.,0.003848
Join the revolution in sustainable fashion.,0.003791
Join the revolution in sustainable fashion.,0.004565
Discover the art of fine dining. Reserve your table.,0.00413
Discover the art of fine dining. Reserve your table.,0.003597
Discover the art of fine dining. Reserve your table.,0.004294
Handcrafted Italian leather goods. Timeless elegance.,0.003509
Handcrafted Italian leather goods. Timeless elegance.,0.003248
Handcrafted Italian leather goods. Timeless elegance.,0.002635
Bespoke suits tailored to perfection. Book your fitting.,0.002884
Bespoke suits tailored to perfection. Book your fitting.,0.003304
Bespoke suits tailored to perfection. Book your fitting.,0.00283
Luxury spa retreat in the mountains. Rejuvenate your soul.,0.005178
Luxury spa retreat in the mountains. Rejuvenate your soul.,0.00531
Luxury spa retreat in the mountains. Rejuvenate your soul.,0.004629
Fine art gallery opening. Exclusive preview for members.,0.002657
Fine art gallery opening. Exclusive preview for members.,0.002894
